代码,名称,买入日,卖出日,买入月份,卖出日市场环境,持仓天数,卖出时连续弱市持仓天数,累计弱市持仓天数,最大连续弱市持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金,信号日,信号日市场环境,信号日市场MA20宽度,信号日市场MA60宽度,信号日市场MA60上行宽度,信号日指数站上MA20,信号日指数MA20上行,信号日指数站上MA60,信号日收盘,信号日RSI14,信号日量比,信号日20日均成交额,信号日距MA20,信号日距MA60,信号日站上MA20,信号日站上MA60,信号日MA20上行,信号日MA60上行,信号日突破20日新高,信号日前5日阳线数,买入日市场环境,买入日市场MA20宽度,买入日市场MA60宽度,买入日开盘跳空,买入日开盘距MA20
000510,新金路,2024-01-03,2024-01-11,2024-01,弱,6,6,6,6,600,5.751,5.349,3455.89,3202.96,-252.92,-0.0699298267576345,90,90,破位防守,99747.08,2024-01-02,弱,0.5769230769230769,0.4807692307692308,0.41083916083916083,True,False,False,5.75,60.25640917488501,1.7011572921366371,64818461.7785,0.03884372177055129,0.09450842295612438,True,True,True,True,True,5,弱,0.5699300699300699,0.493006993006993,-0.0017391304347825765,0.035914094928713336
002999,天禾股份,2024-01-11,2024-01-18,2024-01,弱,5,5,5,5,500,7.275,6.727,3642.26,3356.58,-285.68,-0.07533143080230724,79,79,破位防守,99461.39,2024-01-10,弱,0.28496503496503495,0.32867132867132864,0.43356643356643354,False,False,False,7.32,53.20197007643961,1.9523094285850893,93336026.2895,0.02946346951691159,0.034604602953994146,True,True,True,True,False,3,弱,0.41083916083916083,0.38286713286713286,-0.00819672131147553,0.019448149968405604
601766,中国中车,2024-01-18,2024-02-28,2024-01,弱,23,0,22,22,800,4.86,5.738,3892.76,4583.5,690.74,0.18083420787291418,78,78,亢奋止盈,100152.14,2024-01-17,弱,0.18563922942206654,0.23642732049036777,0.5394045534150613,False,False,False,4.85,61.90475984126992,1.5980144530865925,262767081.106,0.015175300889586518,0.00929522752497225,True,True,True,False,False,3,弱,0.1590909090909091,0.1853146853146853,0.0,0.012526096033402823
002458,益生股份,2024-02-28,2024-03-13,2024-02,强,10,0,1,1,500,7.986,7.615,3997.97,3800.47,-197.5,-0.04648169157293933,82,82,破位防守,90244.26,2024-02-27,中,0.9405594405594405,0.31643356643356646,0.16783216783216784,True,True,True,7.97,59.77011462192275,1.9107316715449043,104697831.8005,0.07608182002295294,0.0427842470234201,True,True,True,False,True,3,弱,0.5926573426573427,0.2202797202797203,0.0,0.07390689213770818
000750,国海证券,2024-02-29,2024-03-14,2024-02,中,10,0,0,0,2900,3.347,3.343,9710.37,9685.72,-24.65,-0.0010099561356327748,78,78,沉没止损,27898.28,2024-02-28,弱,0.5926573426573427,0.2202797202797203,0.1660839160839161,True,True,True,3.35,61.85566921033056,1.9063496202942742,231448007.13650003,0.03554868624420404,0.0022938067218509772,True,True,True,False,False,3,中,0.8321678321678322,0.3146853146853147,-0.0029850746268657025,0.029751811314937537
603018,华设集团,2024-03-13,2024-03-22,2024-03,弱,7,0,0,0,1900,5.862,6.866,11142.23,13034.33,1892.1,0.1713734923315761,72,72,亢奋止盈,30638.07,2024-03-12,中,0.9194395796847635,0.44833625218914186,0.23467600700525393,True,True,True,5.85,66.9491517480609,2.2088079013682584,59179329.25399999,0.0683955803123002,0.03947641188142259,True,True,True,False,True,3,强,0.8633975481611208,0.45183887915936954,0.0,0.059494702526487364
600597,光明乳业,2024-03-13,2024-03-27,2024-03,弱,10,3,3,3,1200,8.928,8.653,10718.38,10373.0,-345.38,-0.030820513854446147,75,75,沉没止损,41011.07,2024-03-12,中,0.9194395796847635,0.44833625218914186,0.23467600700525393,True,True,True,8.93,67.16417770104711,1.0850627332210814,106276841.856,0.02314390467461047,0.06561126469242873,True,True,True,True,True,3,强,0.8633975481611208,0.45183887915936954,-0.002239641657334812,0.01939248326754761
600737,中粮糖业,2024-03-13,2024-03-27,2024-03,弱,10,3,3,3,1400,7.846,7.924,10988.92,11083.22,94.3,0.010000433360609528,75,75,沉没止损,52094.3,2024-03-12,中,0.9194395796847635,0.44833625218914186,0.23467600700525393,True,True,True,7.84,65.59139686206501,1.0832888547187192,264394377.31800002,0.029479351322959646,0.08838500694123086,True,True,True,True,True,3,强,0.8633975481611208,0.45183887915936954,-0.0012755102040815647,0.023663223950843415
001338,永顺泰,2024-03-13,2024-03-27,2024-03,弱,10,3,3,3,1100,9.84,9.79,10828.6,10759.03,-69.57,-0.005006280717587259,72,72,沉没止损,62853.33,2024-03-12,中,0.9194395796847635,0.44833625218914186,0.23467600700525393,True,True,True,9.84,60.888888510024685,1.5071007647498542,76295444.546,0.05116974682192055,-0.04032769298288397,True,False,True,False,True,4,强,0.8633975481611208,0.45183887915936954,-0.00203252032520318,0.04113655640373204
600562,国睿科技,2024-03-13,2024-03-27,2024-03,弱,10,3,3,3,800,13.146,12.924,10521.99,10329.11,-192.88,-0.016897607224575208,72,72,沉没止损,73182.44,2024-03-12,中,0.9194395796847635,0.44833625218914186,0.23467600700525393,True,True,True,13.14,66.22073547588954,1.5912588314959673,101997901.7305,0.08228317272053376,0.06146078761359819,True,True,True,False,True,4,强,0.8633975481611208,0.45183887915936954,-0.0015220700152207556,0.06944897293772412
002791,坚朗五金,2024-03-13,2024-03-28,2024-03,弱,11,4,4,4,200,39.609,35.11,7926.81,7013.42,-913.39,-0.11359572784610392,82,82,绝对止损,80195.86,2024-03-12,中,0.9194395796847635,0.44833625218914186,0.23467600700525393,True,True,True,39.61,61.97458447041602,1.6759077786095942,139909616.4995,0.08800747129594022,0.06425567929927323,True,True,True,False,True,3,强,0.8633975481611208,0.45183887915936954,-0.0020196919969703853,0.07750807517751768
001215,千味央厨,2024-03-13,2024-03-29,2024-03,弱,12,5,5,5,200,49.499,46.118,9904.76,9213.9,-690.86,-0.0683091307264013,72,72,转弱持仓退出,89409.76,2024-03-12,中,0.9194395796847635,0.44833625218914186,0.23467600700525393,True,True,True,49.4,61.90476184973544,1.6415678389683463,70102051.52199998,0.14119386435039738,0.0735163091900819,True,True,True,False,True,3,强,0.8633975481611208,0.45183887915936954,0.0,0.12527192173209856
000878,云南铜业,2024-03-15,2024-03-29,2024-03,弱,10,5,5,5,900,11.433,12.126,10294.54,10902.67,608.14,0.060604470288170426,80,80,转弱持仓退出,100312.43,2024-03-14,中,0.8371278458844134,0.4273204903677758,0.23992994746059546,True,True,True,11.33,64.11290286387873,2.2599338346373896,476125658.629,0.06454946913464243,0.11526725071365296,True,True,True,True,True,3,强,0.8791593695271454,0.5026269702276708,0.007060900264783676,0.061741031963895354
002348,高乐股份,2024-04-10,2024-04-16,2024-04,弱,4,4,4,4,1100,3.607,2.974,3972.92,3264.81,-708.11,-0.1755267243291196,82,82,绝对止损,99604.32,2024-04-09,弱,0.5549738219895288,0.643979057591623,0.2914485165794066,False,True,True,3.52,56.24999938476564,1.7559999138942939,45569082.44600001,0.0738255033557047,0.05854049719326393,True,True,True,False,True,3,弱,0.43106457242582896,0.5445026178010471,0.022727272727272707,0.09339407744874695
000089,深圳机场,2024-04-29,2024-05-16,2024-04,强,10,0,0,0,1600,6.693,6.657,10714.38,10640.33,-74.05,-0.005483045884279306,86,86,沉没止损,38671.87,2024-04-26,弱,0.4370629370629371,0.5017482517482518,0.40559440559440557,True,False,True,6.7,62.03703623285325,1.6257069093786973,150624982.616,0.04061505008930655,0.0792236033182101,True,True,True,True,False,4,强,0.6544502617801047,0.6823734729493892,-0.0029850746268657025,0.03517743685107688
