代码,名称,买入日,卖出日,买入月份,卖出日市场环境,持仓天数,卖出时连续弱市持仓天数,累计弱市持仓天数,最大连续弱市持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金,信号日,信号日市场环境,信号日市场MA20宽度,信号日市场MA60宽度,信号日市场MA60上行宽度,信号日指数站上MA20,信号日指数MA20上行,信号日指数站上MA60,信号日收盘,信号日RSI14,信号日量比,信号日20日均成交额,信号日距MA20,信号日距MA60,信号日站上MA20,信号日站上MA60,信号日MA20上行,信号日MA60上行,信号日突破20日新高,信号日前5日阳线数,买入日市场环境,买入日市场MA20宽度,买入日市场MA60宽度,买入日开盘跳空,买入日开盘距MA20
000937,冀中能源,2024-01-03,2024-01-18,2024-01,弱,11,11,11,11,700,5.361,5.419,3757.49,3786.5,29.01,0.010901561363254809,90,90,沉没止损,100029.01,2024-01-02,弱,0.5827586206896552,0.49310344827586206,0.43275862068965515,True,False,False,5.35,59.37499870117183,1.801979883905681,160188097.128,0.030133821122557025,0.08398338567521013,True,True,True,True,True,3,弱,0.5793103448275863,0.5,0.0,0.026477359938603007
601156,东航物流,2024-01-18,2024-02-06,2024-01,弱,13,13,13,13,200,14.729,12.625,2950.88,2518.68,-432.2,-0.14289108857115695,90,90,绝对止损,99596.81,2024-01-17,弱,0.19482758620689655,0.2206896551724138,0.5293103448275862,False,False,False,14.71,63.55932178253377,2.151692413653402,210789030.2775,0.08333026475678462,0.18817479335505238,True,True,False,True,True,4,弱,0.17758620689655172,0.17586206896551723,-0.0006798096532971698,0.07921591659936844
000750,国海证券,2024-02-29,2024-03-14,2024-02,中,10,0,0,0,2900,3.347,3.343,9710.37,9685.72,-24.65,-0.0010099561356327748,78,78,沉没止损,31432.22,2024-02-28,弱,0.5948275862068966,0.20517241379310344,0.15517241379310345,True,True,True,3.35,61.85566921033056,1.9063496202942742,231448007.13650003,0.03554868624420404,0.0022938067218509772,True,True,True,False,False,3,中,0.8379310344827586,0.28793103448275864,-0.0029850746268657025,0.029751811314937537
601000,唐山港,2024-02-06,2024-03-18,2024-02,强,23,0,10,9,1100,3.557,3.723,3917.81,4087.75,169.94,0.046509797306794935,90,90,破位防守,24383.75,2024-02-05,弱,0.05335628227194492,0.05679862306368331,0.09122203098106713,False,False,False,3.56,55.95238001984129,1.6525763866306922,164952143.3545,0.042612388343827634,0.09944410129709702,True,True,True,True,True,4,弱,0.11359724612736662,0.08089500860585198,-0.002808988764045006,0.034834572219792914
002572,索菲亚,2024-03-13,2024-03-25,2024-03,弱,8,1,1,1,800,13.908,12.874,11131.21,10289.21,-842.0,-0.07431534625273957,73,73,破位防守,23341.35,2024-03-12,中,0.927710843373494,0.4475043029259897,0.21858864027538727,True,True,True,13.88,50.21276565830696,2.007503833426759,143641325.421,0.03170178763890452,0.058034353084663204,True,True,True,True,True,3,强,0.8795180722891566,0.459552495697074,0.0,0.029444485648594698
600054,黄山旅游,2024-03-13,2024-03-27,2024-03,弱,10,3,3,3,1000,11.102,11.257,11107.16,11246.81,139.65,0.013986467498216512,75,75,沉没止损,34588.16,2024-03-12,中,0.927710843373494,0.4475043029259897,0.21858864027538727,True,True,True,11.13,64.07766946743325,1.344349065535682,89222789.70400001,0.06202290076335881,0.04223241876580208,True,True,True,True,True,4,强,0.8795180722891566,0.459552495697074,-0.004492362982929099,0.05013742773196861
603081,大丰实业,2024-03-13,2024-03-28,2024-03,弱,11,4,4,4,900,11.343,10.269,10213.38,9232.86,-980.52,-0.09461818412644699,80,80,绝对止损,43821.02,2024-03-12,中,0.927710843373494,0.4475043029259897,0.21858864027538727,True,True,True,11.44,67.08860739678468,1.6600003057918025,73506219.771,0.1518324607329844,0.01380991064175463,True,True,True,True,True,4,强,0.8795180722891566,0.459552495697074,-0.010489510489510412,0.11929599050773709
601199,江南水务,2024-03-13,2024-03-29,2024-03,弱,12,5,5,5,2400,4.629,4.391,11115.18,10528.61,-586.57,-0.05142096758863222,82,82,转弱持仓退出,54349.63,2024-03-12,中,0.927710843373494,0.4475043029259897,0.21858864027538727,True,True,True,4.63,66.66666569444453,2.0785519400680825,56711206.8325,0.0826610546007247,0.03256021409455867,True,True,True,False,True,4,强,0.8795180722891566,0.459552495697074,-0.002159827213822796,0.07267239377757151
600233,圆通速递,2024-03-13,2024-03-29,2024-03,弱,12,5,5,5,800,13.196,14.112,10562.07,11278.73,716.66,0.06936620305327089,75,75,转弱持仓退出,65628.36,2024-03-12,中,0.927710843373494,0.4475043029259897,0.21858864027538727,True,True,True,13.08,73.49823285195218,1.863228726759735,164433199.906,0.0993444276348967,0.1478215084901937,True,True,True,True,True,3,强,0.8795180722891566,0.459552495697074,0.006880733944954143,0.0945811170212767
603369,今世缘,2024-03-13,2024-03-29,2024-03,弱,12,5,5,5,200,50.441,54.421,10093.14,10873.75,780.61,0.07890972128052201,75,75,转弱持仓退出,76502.11,2024-03-12,中,0.927710843373494,0.4475043029259897,0.21858864027538727,True,True,True,50.73,62.02422137817135,1.3229930131059764,346208649.353,0.060764469722315084,0.15857627350895798,True,True,True,True,True,3,强,0.8795180722891566,0.459552495697074,-0.007687758722649152,0.04724458590775771
002035,华帝股份,2024-03-15,2024-03-29,2024-03,弱,10,5,5,5,2100,5.301,5.22,11136.22,10950.55,-185.66,-0.01528889291360564,82,82,转弱持仓退出,87452.66,2024-03-14,中,0.8399311531841652,0.4440619621342513,0.24612736660929432,True,True,True,5.34,62.99212528985058,1.7696529832867194,63470848.17249999,0.05377405032067095,0.029166131311833432,True,True,True,False,True,4,强,0.882960413080895,0.4991394148020654,-0.009363295880149725,0.038680541920282696
