场景ID,场景,说明,参数组合,抽样上限,抽样种子,实际股票数量,总收益率,超额收益率,最大回撤,Calmar,Sharpe,交易次数,平均股票仓位,空仓占比,启用候选排序,最大入场偏离MA20,破位确认天数,强市破位确认天数,弱市破位确认天数,启用转弱持仓退出,转弱持仓退出天数,转弱持仓退出最高收益,仅处理非弱市入场持仓,回撤止盈启动收益,回撤止盈回撤比例,启用亢奋止盈,弱市允许高分买入,弱市买入分数门槛,弱市最大持仓数,弱市单票仓位倍率,弱市专用止损阈值,扫描信号总数,实际买入次数,未买入候选跟踪数,持仓上限跳过次数,强市盈亏贡献,中性盈亏贡献,弱市盈亏贡献,强市平均仓位,中性平均仓位,弱市平均仓位,结果目录
SV_sample600_seed20260814,SV_抽样600_seed20260814,当前主样本复验，用来和过去多轮结果保持可比。,"{'BUY_SCORE_THRESHOLD': 70, 'STOP_LOSS_RATE': -0.09, 'MAX_HOLD_DAYS': 10, 'RSI_OVERSOLD': 80, 'TIME_SUNK_TOLERANCE': 0.03}",600,20260814,588,0.7355487432000006,0.34926728161538095,0.08277889608351405,2.858977508731751,1.6918334931774368,188,0.3127707992725203,0.08108108108108109,False,,3,,,True,5,0.1,True,0.2,0.1,True,True,78,1,0.2,,6415,189,6175,6176,119015.13473100006,-6340.175239500022,-39120.08517149997,0.7578907325119683,0.380895992581237,0.1248562038306411,backtest_outputs/MAIN/buy70_slm0p09_hold10_rsi80_sunk0p03/stability_20260818_174850_抽样600只_实际588只_训练2021-2023_盲测2024-2026/SV_sample600_seed20260814
SV_sample600_seed20240101,SV_抽样600_seed20240101,换一个随机种子抽样 600 只主板股票，验证策略是否依赖原始样本。,"{'BUY_SCORE_THRESHOLD': 70, 'STOP_LOSS_RATE': -0.09, 'MAX_HOLD_DAYS': 10, 'RSI_OVERSOLD': 80, 'TIME_SUNK_TOLERANCE': 0.03}",600,20240101,592,0.1800444653100001,-0.20623699627461964,0.10077701689040819,0.6535509201526756,0.6210811079665473,177,0.2854522900438967,0.10015898251192369,False,,3,,,True,5,0.1,True,0.2,0.1,True,True,78,1,0.2,,5770,178,5470,5471,49605.48162099997,-11731.278175999963,-19869.756913999998,0.7125846015360734,0.30934797692005084,0.11657011106238148,backtest_outputs/MAIN/buy70_slm0p09_hold10_rsi80_sunk0p03/stability_20260818_174850_抽样600只_实际592只_训练2021-2023_盲测2024-2026/SV_sample600_seed20240101
SV_sample600_seed20250101,SV_抽样600_seed20250101,再换一个随机种子抽样 600 只主板股票，继续检查样本稳定性。,"{'BUY_SCORE_THRESHOLD': 70, 'STOP_LOSS_RATE': -0.09, 'MAX_HOLD_DAYS': 10, 'RSI_OVERSOLD': 80, 'TIME_SUNK_TOLERANCE': 0.03}",600,20250101,591,0.4198514110500002,0.033569949465380444,0.07096474363252407,2.037747944093379,1.2440567680275383,182,0.2770444741152541,0.09379968203497616,False,,3,,,True,5,0.1,True,0.2,0.1,True,True,78,1,0.2,,5693,183,5307,5308,60975.19314699998,-6359.20836299994,-12630.843679000027,0.7180594200429211,0.31858378483940775,0.10361219326409424,backtest_outputs/MAIN/buy70_slm0p09_hold10_rsi80_sunk0p03/stability_20260818_174850_抽样600只_实际591只_训练2021-2023_盲测2024-2026/SV_sample600_seed20250101
