代码,名称,买入日,卖出日,持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,卖出原因,卖出后现金
605318,法狮龙,2025-12-18,2025-12-23,3,400,55.611,71.197,22249.96,28457.57,6207.61,0.28027404650159154,亢奋止盈,29744.81
600114,东睦股份,2025-12-08,2025-12-26,14,800,28.777,29.8,23027.71,23822.34,794.64,0.035543119888357066,沉没止损,30637.67
002643,万润股份,2025-12-18,2026-01-05,10,1500,14.188,14.95,21287.8,22408.24,1120.44,0.053686412485762836,沉没止损,32329.39
002927,泰永长征,2025-12-18,2026-01-05,10,1100,19.779,19.521,21762.87,21456.86,-306.0,-0.01307415564008767,沉没止损,53786.25
603886,元祖股份,2025-12-22,2026-01-05,8,1600,13.557,13.224,21696.72,21141.73,-554.99,-0.02460415458808918,破位防守,74927.99
002270,华明装备,2025-12-23,2026-01-08,10,900,25.471,26.766,22929.49,24071.66,1142.17,0.05086286906910004,沉没止损,30305.39
002801,微光股份,2025-12-26,2026-01-13,10,600,34.519,35.619,20716.52,21355.14,638.63,0.03185848911755582,沉没止损,28284.05
000737,北方铜业,2026-01-05,2026-01-19,10,1500,15.491,15.519,23242.19,23260.89,18.7,0.001806219385291477,沉没止损,27683.36
001328,登康口腔,2026-01-05,2026-01-19,10,600,38.607,39.641,23170.03,23766.5,596.47,0.02676971517644691,沉没止损,51449.86
601100,恒立液压,2026-01-08,2026-01-22,10,200,116.853,120.129,23376.49,24007.83,631.34,0.02803533731713389,沉没止损,30047.72
000899,赣能股份,2026-01-13,2026-01-28,11,2400,9.94,10.249,23861.58,24580.25,718.68,0.031149394758869246,沉没止损,30092.88
000933,神火股份,2026-01-05,2026-02-02,20,800,27.846,30.329,22282.03,24245.18,1963.15,0.08919332978519397,回撤止盈,31174.05
002643,万润股份,2026-01-19,2026-02-02,10,1300,17.675,16.607,22983.61,21572.54,-1411.06,-0.060455053611597746,沉没止损,52746.59
002062,宏润建设,2026-01-22,2026-02-05,10,2400,10.22,9.87,24535.09,23670.76,-864.33,-0.03426284685530898,沉没止损,76417.36
001319,铭科精技,2026-01-19,2026-02-06,14,800,28.026,28.792,22426.36,23016.56,590.21,0.027344667119104743,沉没止损,99433.92
600007,中国国贸,2026-01-30,2026-02-13,10,1200,19.299,19.651,23164.01,23563.06,399.04,0.018244922408557757,沉没止损,25876.9
600072,中船科技,2026-02-10,2026-03-04,10,1800,13.156,12.635,23687.19,22725.37,-961.82,-0.0396450054954829,沉没止损,25149.61
001319,铭科精技,2026-02-10,2026-03-04,10,800,30.401,25.988,24326.62,20774.74,-3551.88,-0.14515333209651896,绝对止损,45924.35
002293,罗莱生活,2026-02-10,2026-03-04,10,2400,10.22,9.79,24535.09,23479.29,-1055.8,-0.042074674181049564,沉没止损,69403.64
600325,华发股份,2026-02-10,2026-03-05,11,5400,4.549,4.122,24571.17,22240.7,-2330.47,-0.09393987355685107,绝对止损,91644.34
603209,兴通股份,2026-02-13,2026-03-09,10,1500,15.631,16.287,23452.66,24412.72,960.06,0.04197758329494856,沉没止损,116057.06
000830,鲁西化工,2026-03-12,2026-03-17,3,1100,20.521,17.425,22578.7,19153.0,-3425.7,-0.1508642870508981,绝对止损,22504.99
002809,红墙股份,2026-03-12,2026-03-19,5,1600,14.369,12.635,22995.64,20200.33,-2795.31,-0.12067914380444134,绝对止损,42705.32
603201,常润股份,2026-03-12,2026-03-24,8,1200,17.986,16.148,21588.48,19362.48,-2226.0,-0.10220561662190948,绝对止损,62067.8
603527,众源新材,2026-03-12,2026-03-24,8,2000,11.192,9.73,22390.28,19446.27,-2944.01,-0.13061075699987676,绝对止损,81514.07
002309,中利集团,2026-03-12,2026-03-25,9,6600,3.507,4.82,23151.99,31790.38,8638.4,0.37449101796407175,亢奋止盈,113304.45
603519,立霸股份,2026-04-09,2026-04-23,10,1700,13.026,13.303,22149.74,22598.72,448.98,0.021291263626593015,沉没止损,29955.63
600007,中国国贸,2026-04-09,2026-04-23,10,1100,20.24,20.549,22270.01,22586.75,316.74,0.015237841149384307,沉没止损,52542.37
605228,神通科技,2026-04-10,2026-04-24,10,1500,14.759,14.561,22144.72,21824.85,-319.88,-0.01345848696361527,沉没止损,30775.34
601677,明泰铝业,2026-04-13,2026-04-29,12,1300,16.874,17.166,21941.27,22298.54,357.28,0.01730031623214364,沉没止损,30285.71
001328,登康口腔,2026-04-23,2026-05-06,6,600,34.83,30.978,20902.94,18572.46,-2330.48,-0.11058435488057253,绝对止损,26301.52
600007,中国国贸,2026-04-24,2026-05-08,7,1100,20.711,20.16,22788.17,22158.93,-629.24,-0.02663951246032395,破位防守,26255.59
002293,罗莱生活,2026-04-23,2026-05-12,10,2200,10.311,10.449,22688.95,22970.69,281.74,0.013430864219083821,沉没止损,27024.43
605318,法狮龙,2026-04-09,2026-05-13,21,200,87.184,93.103,17441.8,18606.37,1164.57,0.06789546983495365,回撤止盈,23469.04
002999,天禾股份,2026-04-29,2026-05-15,9,3100,7.275,6.876,22556.65,21300.29,-1256.35,-0.054752753446275476,破位防守,23425.41
600570,恒生电子,2026-05-12,2026-05-19,5,800,27.695,26.357,22161.76,21069.93,-1091.83,-0.048315091957907653,破位防守,23796.86
603536,惠发食品,2026-05-06,2026-05-20,10,2100,10.571,10.19,22204.86,21382.07,-822.79,-0.03609085147241063,破位防守,23861.06
000899,赣能股份,2026-05-13,2026-05-20,5,1600,13.337,13.663,21343.93,21843.8,499.87,0.0244439745602708,破位防守,45704.86
002438,江苏神通,2026-05-08,2026-05-26,12,1300,17.074,17.784,22201.85,23102.33,900.48,0.04159989879396143,破位防守,27035.39
600415,小商品城,2026-05-20,2026-05-29,7,1600,13.457,12.026,21536.36,19226.82,-2309.54,-0.10633684232428657,绝对止损,24743.89
002643,万润股份,2026-05-15,2026-06-01,11,1200,17.244,14.571,20698.48,17471.22,-3227.26,-0.15504261668412167,绝对止损,21350.26
002729,好利科技,2026-05-19,2026-06-01,9,1000,21.313,18.962,21317.87,18947.52,-2370.35,-0.11028905986804008,绝对止损,40297.78
002801,微光股份,2026-05-20,2026-06-01,8,600,33.717,31.178,20235.44,18692.16,-1543.28,-0.07532572299679997,破位防守,58989.94
603527,众源新材,2026-05-29,2026-06-01,1,1400,14.9,13.383,20864.85,18722.08,-2142.77,-0.10178432643791101,绝对止损,77712.02
002927,泰永长征,2026-06-01,2026-06-04,3,800,24.288,21.677,19435.78,17327.58,-2108.21,-0.10753740044663154,绝对止损,18232.33
600992,贵绳股份,2026-06-01,2026-06-08,5,1500,13.046,11.836,19574.06,17740.54,-1833.52,-0.0927300544839661,破位防守,18232.47
000601,韶能股份,2026-06-04,2026-06-08,2,2000,8.868,7.635,17740.4,15256.77,-2483.63,-0.13904394600629238,绝对止损,33489.24
000716,黑芝麻,2026-05-26,2026-06-09,10,3800,5.661,5.06,21518.32,19212.85,-2305.46,-0.10623708335541308,绝对止损,52702.09
000899,赣能股份,2026-06-01,2026-06-09,6,1400,13.567,12.335,18998.91,17255.76,-1743.15,-0.09079330261191058,绝对止损,69957.85
600995,南网储能,2026-06-01,2026-06-09,6,1200,15.661,13.882,18798.51,16645.29,-2153.23,-0.11359750109505878,绝对止损,86603.14
603527,众源新材,2026-06-16,2026-06-25,6,1200,14.329,12.655,17199.32,15172.98,-2026.34,-0.11682648688636718,绝对止损,18432.81
600114,东睦股份,2026-06-16,2026-06-30,9,400,42.024,36.916,16814.55,14754.02,-2060.53,-0.12154660635809915,绝对止损,16852.24
603992,松霖科技,2026-06-16,2026-06-30,9,500,33.797,30.938,16903.73,15456.27,-1447.46,-0.08460576623213684,破位防守,32308.5
603886,元祖股份,2026-06-16,2026-07-01,10,1300,13.096,12.715,17029.98,16515.61,-514.37,-0.02913988396580976,沉没止损,20221.04
603072,天和磁材,2026-06-17,2026-07-02,10,400,38.477,39.361,15395.72,15731.58,335.86,0.022983200266134464,沉没止损,24346.46
002335,科华数据,2026-06-30,2026-07-03,3,300,41.964,37.914,12594.13,11363.52,-1230.61,-0.09650565154314103,绝对止损,20821.27
600973,宝胜股份,2026-06-30,2026-07-07,5,2200,7.275,6.238,16008.94,13710.64,-2298.31,-0.14255511016534425,绝对止损,34531.91
002338,奥普光电,2026-07-01,2026-07-09,6,200,58.006,52.066,11606.16,10402.93,-1203.23,-0.10240565681557942,绝对止损,44934.84
000750,国海证券,2026-06-26,2026-07-10,10,4300,3.798,3.742,16334.59,16079.7,-254.89,-0.0145039735831766,沉没止损,61014.54
002293,罗莱生活,2026-07-02,2026-07-16,10,1400,10.631,10.838,14888.71,15161.01,272.3,0.019476598170294686,沉没止损,76175.55
