日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_prev5,MA20_break_1,MA20_break_2,High_20,成交额估算,Amount_MA20
2021-04-12,6.42,6.55,6.37,6.55,4829100.0,31459100.0,516765682.0,0.00934485428929857,6.522,6.484999999999999,6.3025,5.549000000000001,56.49999960449999,9599976.45,5.476833333333333,6.1845,False,False,6.62,31630605.0,60671063.045499995
2021-04-13,6.52,6.67,6.38,6.38,4771700.0,30967850.0,516765682.0,0.009233778801898072,6.476000000000001,6.465999999999999,6.3235,5.567666666666667,58.247422260070145,9450978.1,5.488833333333334,6.2235,False,False,6.62,30443446.0,59883238.5795
2021-04-14,6.37,6.62,6.31,6.45,4705901.0,30495024.0,516765682.0,0.009106450300234914,6.442,6.481,6.3365,5.588666666666667,58.4615380418146,9005364.5,5.502166666666667,6.2335,False,False,6.62,30353061.45,57186067.108500004
2021-04-15,6.45,6.47,6.36,6.37,2627999.0,16872290.0,516765682.0,0.005085475083850479,6.442,6.4719999999999995,6.354,5.6113333333333335,56.157635080686255,8697301.65,5.512833333333333,6.252999999999999,False,False,6.62,16740353.63,55377518.734000005
2021-04-16,6.37,6.41,6.02,6.04,7859510.0,48848014.0,516765682.0,0.015209040139008301,6.358,6.442,6.3525,5.6274999999999995,44.03669696490196,8753839.05,5.529666666666667,6.269,False,False,6.62,47471440.4,55708911.487
2021-04-19,6.07,6.65,6.07,6.65,19708429.0,129856430.0,516765682.0,0.038138037579670395,6.378,6.45,6.3815,5.651666666666667,51.58730130070546,9237235.5,5.549000000000001,6.3025,True,False,6.62,131061052.85000001,59214672.37950001
2021-04-20,6.67,6.87,6.57,6.77,19912564.0,134638944.0,516765682.0,0.03853306187619479,6.456,6.465999999999999,6.405500000000001,5.677833333333334,59.915611460414105,9530488.7,5.567666666666667,6.3235,False,True,6.65,134808058.28,61537136.543500006
2021-04-21,6.76,6.87,6.72,6.81,11098564.0,75843360.0,516765682.0,0.021476975709853737,6.5280000000000005,6.485000000000001,6.4430000000000005,5.7044999999999995,57.777777418271604,9645927.45,5.588666666666667,6.3365,False,False,6.77,75581220.83999999,62652891.51850001
2021-04-22,6.96,7.16,6.81,6.95,15759100.0,111019479.0,516765682.0,0.03049563960789486,6.644,6.542999999999999,6.4845,5.732166666666667,63.436122956781624,10113657.45,5.6113333333333335,6.354,False,False,6.81,109525745.0,66169401.76850001
2021-04-23,6.87,7.02,6.73,6.98,7641544.0,52630133.0,516765682.0,0.014787251294291636,6.832000000000001,6.595000000000001,6.527500000000001,5.760666666666666,59.90338123736844,10253499.65,5.6274999999999995,6.3525,False,False,6.95,53337977.120000005,67353822.4245
2021-04-26,6.87,7.21,6.82,7.03,9710910.0,68834328.0,516765682.0,0.018791708385929543,6.9079999999999995,6.643000000000001,6.564,5.7924999999999995,60.096153441660505,10063621.85,5.651666666666667,6.3815,False,False,6.98,68267697.3,66512040.4995
2021-04-27,6.92,7.02,6.74,6.78,10513300.0,72267361.0,516765682.0,0.02034442372278119,6.909999999999999,6.683,6.5745000000000005,5.823666666666667,53.448275539536276,9582340.45,5.677833333333334,6.405500000000001,False,False,7.03,71280174.0,63460411.35150001
2021-04-28,6.75,6.83,6.67,6.75,5439750.0,36981590.0,516765682.0,0.010526531055520053,6.898000000000001,6.712999999999999,6.5969999999999995,5.855166666666666,59.04761865396825,9302353.55,5.7044999999999995,6.4430000000000005,False,False,7.03,36718312.5,61818888.256500006
2021-04-29,6.72,6.75,6.52,6.52,5203700.0,34375168.0,516765682.0,0.010069747626933167,6.812,6.728,6.6,5.883666666666667,51.33928539341517,9012099.15,5.732166666666667,6.4845,False,False,7.03,33928124.0,59959455.932500005
