日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_prev5,MA20_break_1,MA20_break_2,High_20,成交额估算,Amount_MA20
2021-04-12,4.96,5.01,4.88,4.89,3768460.0,21265502.0,415758167.00000006,0.009064067285057084,4.952,4.917999999999999,4.930999999999999,4.8709999999999996,41.53846064378699,4672281.6,4.935333333333333,4.884,False,False,5.0,18427769.4,23066517.4615
2021-04-13,4.89,4.92,4.81,4.82,3629493.0,20205761.0,415758167.00000006,0.008729817687501975,4.924,4.904000000000001,4.928,4.864333333333334,39.705881535467185,4588980.75,4.915,4.888,True,False,5.0,17494156.26,22649120.8345
2021-04-14,4.83,4.89,4.79,4.86,2795480.0,15599984.0,415758167.00000006,0.006723812595604405,4.901999999999999,4.909000000000001,4.923,4.8580000000000005,46.2686557496102,4397211.6,4.898333333333334,4.8985,True,True,5.0,13586032.8,21683968.4505
2021-04-15,4.86,4.96,4.84,4.91,3756900.0,21153019.0,415758167.00000006,0.009036262659874578,4.888,4.911,4.9205,4.856666666666667,49.295773675858,4380855.1,4.885666666666666,4.916,True,True,5.0,18446379.0,21593447.9605
2021-04-16,4.91,5.03,4.91,4.99,5796091.0,33186179.0,415758167.00000006,0.013941015378779075,4.894,4.923,4.9205,4.858333333333333,56.57894632617733,4289314.65,4.879166666666666,4.927,True,True,5.0,28922494.09,21136661.115
2021-04-19,5.01,5.08,4.99,5.03,7337966.0,42393367.0,415758167.00000006,0.017649601577159155,4.922,4.937,4.9235,4.859166666666667,54.79451949709143,4365984.45,4.8709999999999996,4.930999999999999,False,True,5.0,36909968.980000004,21539723.919
2021-04-20,5.01,5.17,5.01,5.08,11840501.0,69394567.0,415758167.00000006,0.02847929863997115,4.974,4.949,4.9275,4.856,71.42856984126992,4735363.5,4.864333333333334,4.928,False,False,5.03,60149745.08,23433981.173
2021-04-21,5.0,5.04,4.96,4.97,5438351.0,31113209.0,415758167.00000006,0.013080563249645074,4.996,4.949,4.928,4.8535,56.060604871441726,4801374.05,4.8580000000000005,4.923,False,False,5.08,27028604.47,23764112.6765
2021-04-22,4.98,5.1,4.97,5.01,5440181.0,31434364.0,415758167.00000006,0.013084964846884173,5.016,4.952,4.933,4.850333333333334,60.29411640570934,4884263.1,4.856666666666667,4.9205,False,False,5.08,27255306.81,24198298.816999998
2021-04-23,5.0,5.04,4.81,4.85,9215950.0,52135751.0,415758167.00000006,0.02216661206320933,4.9879999999999995,4.941,4.9295,4.845166666666667,47.560974797739455,5215133.1,4.858333333333333,4.9205,False,False,5.08,44697357.5,25793923.392
2021-04-26,4.86,4.89,4.77,4.79,5768798.0,32000794.0,415758167.00000006,0.013875369043562286,4.9399999999999995,4.930999999999999,4.9245,4.840999999999999,39.506172156683455,5336100.5,4.859166666666667,4.9235,True,False,5.08,27632542.42,26356609.988
2021-04-27,4.81,4.82,4.68,4.72,3418000.0,18547492.0,415758167.00000006,0.008221125335103758,4.868,4.920999999999999,4.9125,4.838,35.63218333465454,5276463.45,4.856,4.9275,True,True,5.08,16132960.0,26019794.220000003
2021-04-28,4.7,4.75,4.66,4.74,3122810.0,16871909.0,415758167.00000006,0.0075111212427487915,4.822,4.909,4.909000000000001,4.834,36.36363578512398,5197790.9,4.8535,4.928,True,True,5.08,14802119.4,25630449.4195
2021-04-29,4.73,4.78,4.69,4.74,2487726.0,13530947.0,415758167.00000006,0.005983589012696411,4.768,4.892,4.9015,4.829833333333332,37.20930171984859,5165586.4,4.850333333333334,4.933,True,True,5.08,11791821.24,25454311.469499998
2021-04-30,4.77,4.77,4.64,4.65,3016870.0,16220658.0,415758167.00000006,0.007256309651759648,4.728,4.858,4.8905,4.825166666666667,36.36363578512402,5141793.4,4.845166666666667,4.9295,True,True,5.08,14028445.500000002,25305253.9895
2021-05-06,4.66,4.69,4.62,4.67,3101237.0,16570880.0,415758167.00000006,0.0074592329054596765,4.704000000000001,4.822,4.879499999999999,4.824833333333332,40.96385473073014,5030850.25,4.840999999999999,4.9245,True,True,5.08,14482776.79,24728628.379
2021-05-07,4.69,4.73,4.63,4.69,2852900.0,15331083.0,415758167.00000006,0.006861921728647605,4.698,4.7829999999999995,4.8660000000000005,4.825166666666666,39.506172156683455,4888271.45,4.838,4.9125,True,True,5.08,13380101.000000002,23982923.381
2021-05-10,4.69,4.76,4.67,4.72,3360119.0,18154273.0,415758167.00000006,0.008081907384395409,4.694000000000001,4.758,4.8535,4.825666666666667,37.97468287133471,4859811.3,4.834,4.909000000000001,True,True,5.08,15859761.68,23799474.948000003
2021-05-11,4.69,4.75,4.69,4.74,2283895.0,12376184.0,415758167.00000006,0.00549332564283698,4.694,4.731,4.8415,4.827666666666667,32.87671169825485,4571187.9,4.829833333333332,4.9015,True,True,5.08,10825662.3,22334723.676
2021-05-12,4.75,4.79,4.71,4.79,2531138.0,13839917.0,415758167.00000006,0.006088005482283165,4.7219999999999995,4.725,4.833,4.8335,33.783783144631116,4548143.3,4.825166666666667,4.8905,True,True,5.08,12124151.02,22198907.787
2021-05-13,4.76,4.82,4.73,4.76,3058030.0,16760473.0,415758167.00000006,0.007355309510973478,4.74,4.7219999999999995,4.8265,4.838666666666668,27.777777237654334,4512621.8,4.824833333333332,4.879499999999999,True,True,5.08,14556222.799999999,22005330.457
2021-05-14,4.76,4.82,4.76,4.77,3239500.0,17783205.0,415758167.00000006,0.007791789210962149,4.755999999999999,4.727,4.824,4.844166666666666,33.87096697710719,4493122.15,4.825166666666666,4.8660000000000005,True,True,5.08,15452414.999999998,21903243.394
2021-05-17,4.29,4.46,4.29,4.29,24705950.0,122537856.0,415758167.00000006,0.05942384771000781,4.67,4.682,4.7955,4.840833333333334,16.037735637237446,5588645.65,4.825666666666667,4.8535,True,True,5.08,105988525.5,26523368.029000003
2021-05-18,4.15,4.3,4.12,4.27,11061495.0,53505426.0,415758167.00000006,0.02660559882639659,4.576,4.635,4.7635,4.836333333333333,18.478260588374283,5953875.4,4.827666666666667,4.8415,True,True,5.08,47232583.65,27962678.2615
2021-05-19,4.22,4.29,4.18,4.27,7722010.0,37750489.0,415758167.00000006,0.01857332125480532,4.4719999999999995,4.5969999999999995,4.727500000000001,4.828666666666666,19.767441538669544,6050171.35,4.8335,4.833,True,True,5.08,32972982.699999996,28165202.691999994
2021-05-20,4.25,4.33,4.19,4.29,7485060.0,36603956.0,415758167.00000006,0.01800339859589577,4.378,4.558999999999999,4.6905,4.8196666666666665,23.45678971803082,6057526.05,4.838666666666668,4.8265,True,True,5.08,32110907.4,27925249.612999998
2021-05-21,4.29,4.39,4.28,4.32,6341143.0,31545163.0,415758167.00000006,0.015251998645645365,4.287999999999999,4.522,4.6525,4.811166666666667,24.39024348602024,5782558.15,4.844166666666666,4.824,True,True,5.08,27393737.76,26287449.247
2021-05-24,4.3,4.32,4.22,4.27,5732720.0,28062513.0,415758167.00000006,0.013788592636353429,4.284000000000001,4.477,4.6175,4.8021666666666665,22.98850537719646,5797276.6,4.840833333333334,4.7955,True,True,5.01,24478714.4,26159954.7435
2021-05-25,4.26,4.27,4.2,4.25,3863681.0,18797552.0,415758167.00000006,0.009293097061398194,4.279999999999999,4.428,4.5795,4.793166666666666,24.999999562500008,5718451.6,4.836333333333333,4.7635,True,True,5.01,16420644.25,25618221.6155
2021-05-26,4.25,4.28,4.23,4.27,4120900.0,20161666.0,415758167.00000006,0.009911771618908449,4.279999999999999,4.3759999999999994,4.5504999999999995,4.785666666666668,24.999999562500008,5463699.1,4.828666666666666,4.727500000000001,True,True,4.85,17596243.0,24263165.8905
2021-05-27,4.28,4.4,4.26,4.36,6863680.0,33927567.0,415758167.00000006,0.01650882783500438,4.2940000000000005,4.336,4.529,4.7796666666666665,31.034482259215252,5518443.2,4.8196666666666665,4.6905,True,True,4.79,29925644.8,24377821.0095
2021-05-28,4.35,4.36,4.3,4.34,4743716.0,23582989.0,415758167.00000006,0.011409796310748116,4.298,4.293,4.51,4.771333333333334,27.906976289886487,5584729.0,4.811166666666667,4.6525,True,True,4.79,20587727.439999998,24600559.3815
2021-05-31,4.35,4.37,4.3,4.33,4083439.0,20299134.0,415758167.00000006,0.009821668758704142,4.31,4.297,4.4895,4.762833333333333,25.88235251487893,5632760.45,4.8021666666666665,4.6175,True,True,4.79,17681290.87,24744517.955000002
2021-06-01,4.36,4.59,4.33,4.44,10085516.0,51594564.0,415758167.00000006,0.024258130809009456,4.348,4.314,4.4745,4.755333333333334,30.769230295858065,6012649.95,4.793166666666666,4.5795,True,True,4.79,44779691.04000001,26393911.445
2021-06-02,4.42,4.49,4.39,4.43,8345350.0,42468026.0,415758167.00000006,0.02007260629470689,4.38,4.33,4.4635,4.747166666666667,31.46067366241641,6279073.95,4.785666666666668,4.5504999999999995,True,True,4.79,36969900.5,27540984.195
2021-06-03,4.45,4.47,4.41,4.42,5409889.0,27522071.0,415758167.00000006,0.013012105183732926,4.392,4.343,4.4510000000000005,4.738166666666667,30.337078174472992,6394506.55,4.7796666666666665,4.529,True,True,4.79,23911709.38,28012430.824500002
2021-06-04,4.43,4.43,4.38,4.42,5325550.0,26957290.0,415758167.00000006,0.012809249276875899,4.4079999999999995,4.353,4.4375,4.7305,65.85365628792381,6518139.05,4.771333333333334,4.51,True,True,4.79,23538931.0,28520372.324500002
2021-06-07,4.42,4.43,4.38,4.42,4739913.0,23017402.0,415758167.00000006,0.011400649166321728,4.426,4.368,4.422499999999999,4.724833333333334,69.23076674556215,6587128.75,4.762833333333333,4.4895,True,True,4.79,20950415.46,28774905.013499998
2021-06-08,4.41,4.42,4.38,4.42,3683250.0,17875055.0,415758167.00000006,0.008859116410333797,4.422,4.385,4.406499999999999,4.721333333333334,69.23076674556215,6657096.5,4.755333333333334,4.4745,True,True,4.79,16279965.0,29047620.148499995
2021-06-09,4.42,4.45,4.4,4.43,2931630.0,14330169.0,415758167.00000006,0.007051286619704574,4.422,4.401000000000001,4.3885,4.716166666666667,68.4210501108033,6677121.1,4.747166666666667,4.4635,False,True,4.79,12987120.899999999,29090768.642500002
2021-06-10,4.44,4.46,4.42,4.44,3727996.0,18266152.0,415758167.00000006,0.008966741475940747,4.426,4.409000000000001,4.3725000000000005,4.71,66.66666407407409,6710619.4,4.738166666666667,4.4510000000000005,False,False,4.77,16552302.240000002,29190572.614500005
2021-06-11,4.44,4.5,4.4,4.4,3926615.0,19263376.0,415758167.00000006,0.009444468712024121,4.422,4.415,4.354000000000001,4.702,68.57142582857158,6744975.15,4.7305,4.4375,False,False,4.77,17277106.0,29281807.164500006
2021-06-15,4.42,4.43,4.32,4.37,3730210.0,17957760.0,415758167.00000006,0.008972066687026738,4.412,4.419,4.358,4.692166666666666,66.66666407407409,5696188.15,4.724833333333334,4.422499999999999,False,False,4.44,16301017.700000001,24797431.7745
2021-06-16,4.39,4.39,4.33,4.37,2476622.0,11919172.0,415758167.00000006,0.005956881178957092,4.402,4.412000000000001,4.363,4.682333333333333,64.70587968858139,5266944.5,4.721333333333334,4.406499999999999,False,False,4.44,10822838.14,22976944.499
2021-06-17,4.37,4.39,4.32,4.32,2670830.0,12792864.0,415758167.00000006,0.006423998882023163,4.380000000000001,4.401,4.365499999999999,4.671166666666666,43.33333131111124,5014385.5,4.716166666666667,4.3885,False,False,4.44,11537985.600000001,21905194.644
