日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_prev5,MA20_break_1,MA20_break_2,High_20,成交额估算,Amount_MA20
2021-04-12,5.22,5.32,5.14,5.21,3883574.0,26753945.0,400400000.0,0.009699235764235764,5.3020000000000005,5.406000000000001,5.2855,5.143333333333333,53.124999535156235,5204648.3,5.142666666666667,5.213,True,True,5.64,20233420.54,28054747.399499994
2021-04-13,5.18,5.28,5.16,5.2,3233503.0,22219751.0,400400000.0,0.008075681818181819,5.242,5.362,5.295,5.144499999999999,50.96774147513008,5266819.55,5.1435,5.231,True,True,5.64,16814215.6,28396943.640499998
2021-04-14,5.23,5.26,5.07,5.23,4037738.0,27460823.0,400400000.0,0.010084260739260739,5.216,5.351,5.3020000000000005,5.143833333333333,49.99999953947369,5393253.9,5.142666666666667,5.247,True,True,5.64,21117369.740000002,29068758.648000002
2021-04-15,5.23,5.76,5.17,5.76,13139706.0,98162982.0,400400000.0,0.03281644855144855,5.324,5.3740000000000006,5.335,5.151166666666667,58.69565172731568,5972063.6,5.141666666666667,5.2635,True,True,5.64,75684706.56,32454298.416
2021-04-16,5.88,6.31,5.64,5.87,29299783.0,228148695.0,400400000.0,0.07317628121878123,5.454,5.411,5.374499999999999,5.159166666666667,63.97849414209737,7363434.25,5.1435,5.2755,False,True,5.76,171989726.21,40679802.7465
2021-04-19,5.67,5.84,5.61,5.73,15580017.0,117518789.0,400400000.0,0.03891113136863137,5.558,5.43,5.407500000000001,5.164833333333333,52.63157851646663,8072784.45,5.143333333333333,5.2855,False,False,5.87,89273497.41000001,44790348.8215
2021-04-20,5.7,5.85,5.62,5.64,9649013.0,72778574.0,400400000.0,0.024098434065934066,5.646,5.444,5.434,5.1685,59.999999439999996,8488878.15,5.144499999999999,5.295,False,False,5.87,54420433.32,47172286.473000005
2021-04-21,5.62,5.72,5.54,5.57,6632530.0,49136550.0,400400000.0,0.01656476023976024,5.714,5.465,5.454000000000001,5.170333333333333,51.449274840369675,8585483.4,5.143833333333333,5.3020000000000005,False,False,5.87,36943192.1,47804386.215500005
2021-04-22,5.61,5.7,5.54,5.64,6628461.0,49082238.0,400400000.0,0.0165545979020979,5.69,5.507,5.4745,5.174333333333333,54.92957692322952,8686521.75,5.151166666666667,5.335,False,False,5.87,37384520.04,48468700.23650001
2021-04-23,5.59,5.61,5.34,5.38,7943003.0,56781592.0,400400000.0,0.01983766983016983,5.5920000000000005,5.523000000000001,5.471500000000001,5.173666666666666,45.12195083432481,8609418.15,5.159166666666667,5.374499999999999,False,False,5.87,42733356.14,48025427.64350001
2021-04-26,5.32,5.48,5.31,5.32,4243632.0,29995180.0,400400000.0,0.010598481518481518,5.51,5.534000000000001,5.47,5.175166666666668,44.57831287705038,8513509.85,5.164833333333333,5.407500000000001,True,False,5.87,22576122.240000002,47505952.7905
2021-04-27,5.29,5.4,5.2,5.38,4503993.0,31574332.0,400400000.0,0.011248733766233766,5.458,5.552,5.457,5.179333333333334,50.63291094375899,8125160.6,5.1685,5.434,True,True,5.87,24231482.34,45257111.1115
2021-04-28,5.33,5.34,5.25,5.28,3663311.0,25541628.0,400400000.0,0.009149128371628372,5.4,5.557,5.454000000000001,5.182333333333333,51.94805147579695,7837657.35,5.170333333333333,5.454000000000001,True,True,5.87,19342282.080000002,43710853.8235
2021-04-29,5.26,5.33,5.24,5.32,3090262.0,21564671.0,400400000.0,0.007717937062937063,5.336,5.513,5.4435,5.1851666666666665,53.16455649094699,7558837.0,5.174333333333333,5.4745,True,True,5.87,16440193.840000002,42136529.53700001
2021-04-30,5.29,5.31,5.2,5.23,2731090.0,18914302.0,400400000.0,0.006820904095904096,5.306,5.449,5.430000000000001,5.1865,50.60240921178693,7357750.35,5.173666666666666,5.471500000000001,True,True,5.87,14283600.700000001,40993683.246999994
