日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_prev5,MA20_break_1,MA20_break_2,High_20,成交额估算,Amount_MA20
2021-04-12,7.47,7.5,7.22,7.28,37113888.0,339294399.0,3880518908.0,0.009564155949217707,7.514,7.648000000000001,7.6175,7.264166666666667,30.952380608465617,44774578.65,7.292666666666666,7.533500000000001,True,True,8.03,270189104.64,344121326.16999996
2021-04-13,7.26,7.31,7.13,7.18,26894687.0,241093830.0,3880518908.0,0.006930693455598026,7.414,7.587999999999999,7.619,7.258333333333334,11.009174170524375,44605376.05,7.2885,7.564500000000001,True,True,8.03,193103852.66,342951869.6105
2021-04-14,7.18,7.22,7.15,7.18,19033597.0,170239307.0,3880518908.0,0.004904910258460723,7.324,7.529000000000001,7.6165,7.248166666666666,12.371133842066115,44222289.8,7.283833333333334,7.585000000000001,True,True,8.03,136661226.46,340134572.03050005
2021-04-15,7.15,7.16,7.03,7.07,23087838.0,203269501.0,3880518908.0,0.0059496780063105935,7.236,7.461,7.601000000000001,7.241,11.320754567461762,42963913.35,7.279,7.606999999999999,True,True,8.03,163231014.66,330489892.3405
2021-04-16,7.09,7.13,7.06,7.07,18720483.0,165156130.0,3880518908.0,0.004824221565163934,7.156000000000001,7.381,7.587000000000001,7.2355,11.764705720876606,42242960.85,7.272166666666667,7.6194999999999995,True,True,8.03,132353814.81,324928804.7035
2021-04-19,7.05,7.25,7.03,7.22,33718903.0,300587953.0,3880518908.0,0.008689276820810173,7.144,7.329000000000001,7.581999999999999,7.232166666666667,24.54545423305784,41876035.9,7.264166666666667,7.6175,True,True,8.03,243450479.66,322074319.5545
2021-04-20,7.19,7.25,7.1,7.12,25643793.0,228446462.0,3880518908.0,0.006608341205897302,7.132,7.272999999999999,7.55,7.227,22.68907536332179,38942383.85,7.258333333333334,7.619,True,True,8.03,182583806.16,298488578.27050006
2021-04-21,7.07,7.15,7.06,7.09,11772752.0,104031487.0,3880518908.0,0.0030338086939170764,7.114,7.218999999999999,7.503,7.220833333333333,22.499999737499977,34139514.25,7.248166666666666,7.6165,True,True,8.03,83468811.67999999,259368216.03849998
2021-04-22,7.14,7.17,7.03,7.04,19143969.0,169078666.0,3880518908.0,0.004933352846325056,7.108,7.172,7.4595,7.216,13.274336118725003,30763517.1,7.241,7.601000000000001,True,True,7.91,134773541.76,231831315.93049997
2021-04-23,7.02,7.02,6.88,6.96,24289859.0,210023017.0,3880518908.0,0.006259435806362008,7.086,7.1209999999999996,7.412999999999999,7.209333333333333,13.888888708847702,29453643.85,7.2355,7.587000000000001,True,True,7.89,169057418.64,220366937.54450002
