日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_prev5,MA20_break_1,MA20_break_2,High_20,成交额估算,Amount_MA20
2021-04-12,9.16,9.36,8.95,9.06,87815072.0,818347292.0,1150886809.0,0.07630209271083929,8.712,8.499,8.360499999999998,8.355666666666666,77.07006300701849,24089862.7,8.3835,8.236999999999998,False,False,8.8,795604552.32,205568272.00149998
2021-04-13,8.88,8.98,8.67,8.71,46816005.0,418803499.0,1150886809.0,0.04067820104800593,8.760000000000002,8.55,8.387,8.360166666666666,61.41304301098774,25747156.3,8.3695,8.239,False,False,9.06,407767403.55,220365557.78199998
2021-04-14,8.63,8.83,8.45,8.68,31675838.0,278251040.0,1150886809.0,0.02752298293133013,8.766000000000002,8.592000000000002,8.4105,8.363333333333333,64.20454494382744,26856915.75,8.359333333333334,8.2645,False,False,9.06,274946273.84,230221065.05949998
2021-04-15,8.68,8.71,8.48,8.53,22854972.0,198379598.0,1150886809.0,0.01985857498867206,8.756,8.626999999999999,8.423,8.371,57.14285670329668,27231479.15,8.3515,8.290000000000001,False,False,9.06,194952911.16,233608137.16149998
2021-04-16,8.5,8.68,8.48,8.65,22657997.0,197812851.0,1150886809.0,0.019687424360773954,8.726,8.656,8.4465,8.379666666666667,59.16230323127103,27756075.9,8.350833333333334,8.321,False,False,9.06,195991674.05,238431801.50599998
2021-04-19,8.59,8.63,8.5,8.61,24533397.0,213678929.0,1150886809.0,0.0213169503796094,8.636,8.674,8.471,8.3845,61.08108061884585,28417546.05,8.355666666666666,8.360499999999998,False,False,9.06,211232548.17,244404007.35050002
2021-04-20,8.57,8.67,8.5,8.5,22376308.0,194926621.0,1150886809.0,0.019442666146675766,8.594,8.677,8.4855,8.386833333333334,56.31578905872576,28975375.1,8.360166666666666,8.387,False,False,9.06,190198618.0,249308240.317
2021-04-21,8.46,8.48,8.26,8.32,22993075.0,195201225.0,1150886809.0,0.019978572019587724,8.522,8.644,8.486999999999998,8.377333333333333,53.49999962550001,28977110.35,8.363333333333333,8.4105,False,False,9.06,191302384.0,249357115.152
2021-04-22,8.36,8.39,8.29,8.31,12968609.0,109849391.0,1150886809.0,0.011268361839396146,8.478,8.617,8.493500000000001,8.370166666666666,48.63387940935833,28959785.45,8.371,8.423,True,False,9.06,107769140.79,249299693.4285
2021-04-23,8.34,8.36,8.15,8.23,24814508.0,207496196.0,1150886809.0,0.02156120637229408,8.394,8.559999999999999,8.4915,8.3625,44.56521705222121,29392765.85,8.379666666666667,8.4465,True,True,9.06,204223400.84,252830812.3205
