日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_prev5,MA20_break_1,MA20_break_2,High_20,成交额估算,Amount_MA20
2021-04-12,6.29,6.29,6.18,6.2,2102819.0,16816539.0,630839399.0,0.003333366627597082,6.304,6.295,6.297,6.212,36.842104358264145,1938948.25,6.213333333333334,6.2924999999999995,True,False,6.37,13037477.8,12213202.146
2021-04-13,6.22,6.23,6.14,6.19,2112428.0,16761697.0,630839399.0,0.0033485987136323424,6.268,6.289,6.293000000000001,6.2155000000000005,38.181817209917384,1945477.9,6.211333333333333,6.2925,True,True,6.37,13075929.32,12245693.339499999
2021-04-14,6.21,6.23,6.18,6.22,1410123.0,11243769.0,630839399.0,0.0022353121923508776,6.242,6.289,6.287000000000001,6.218333333333334,42.1052621237304,1906288.9,6.209833333333333,6.296,True,True,6.37,8770965.06,11988774.3415
2021-04-15,6.2,6.25,6.16,6.23,1530250.0,12176196.0,630839399.0,0.0024257362530395793,6.224,6.283,6.2805,6.222333333333333,54.3478244328923,1882392.35,6.209166666666666,6.3015,True,True,6.37,9533457.5,11826845.658499999
2021-04-16,6.22,6.32,6.21,6.29,1473949.0,11880129.0,630839399.0,0.0023364884982397874,6.226000000000001,6.28,6.2780000000000005,6.226,55.319147288365805,1853624.6,6.212166666666667,6.301,True,True,6.37,9271139.21,11640773.251
2021-04-19,6.29,6.35,6.28,6.34,1835770.0,14913472.0,630839399.0,0.0029100433532053376,6.2540000000000004,6.279,6.2815,6.2299999999999995,58.823527797001184,1850930.35,6.212,6.297,False,True,6.37,11638781.799999999,11630305.4985
2021-04-20,6.34,6.36,6.29,6.29,1229383.0,9975557.0,630839399.0,0.0019488050396801548,6.274,6.271,6.278499999999999,6.2325,56.60377208971171,1825796.0,6.2155000000000005,6.293000000000001,False,False,6.37,7732819.07,11467014.227000002
2021-04-21,6.27,6.32,6.23,6.3,1304234.0,10515587.0,630839399.0,0.0020674580599554467,6.290000000000001,6.266,6.2775,6.235166666666667,51.06382826618382,1814305.9,6.218333333333334,6.287000000000001,False,False,6.37,8216674.2,11393092.561
2021-04-22,6.3,6.39,6.25,6.33,1807314.0,14671851.0,630839399.0,0.0028649352004090664,6.3100000000000005,6.267,6.278499999999999,6.239166666666666,51.06382826618382,1827877.2,6.222333333333333,6.2805,False,False,6.37,11440297.620000001,11480534.778
2021-04-23,6.31,6.32,6.25,6.31,1575903.0,12696888.0,630839399.0,0.00249810490989958,6.313999999999999,6.2700000000000005,6.2844999999999995,6.2395000000000005,45.65217252362953,1762333.6,6.226,6.2780000000000005,False,False,6.37,9943947.93,11084275.312
2021-04-26,6.28,6.34,6.26,6.28,1599700.0,12957176.0,630839399.0,0.002535827664752436,6.302,6.2780000000000005,6.286499999999999,6.241833333333334,40.425530710728864,1777136.1,6.2299999999999995,6.2815,False,False,6.37,10046116.0,11179842.312
