日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_prev5,MA20_break_1,MA20_break_2,High_20,成交额估算,Amount_MA20
2021-04-12,7.86,7.88,7.73,7.77,8370003.0,80059241.0,1443100971.0000002,0.005800012035332487,7.867999999999999,7.897,8.0435,8.272,16.98113185119263,20723988.05,8.254833333333334,8.09,True,True,8.47,65034923.309999995,168496852.03300002
2021-04-13,7.77,7.79,7.66,7.66,9109322.0,85995428.0,1443100971.0000002,0.006312324766636165,7.798,7.8709999999999996,8.03,8.274,15.929203342470089,20371598.5,8.257833333333334,8.078,True,True,8.47,69777406.52,165579427.0545
2021-04-14,7.65,7.86,7.59,7.76,10193094.0,96666161.0,1443100971.0000002,0.007063326963834465,7.766,7.858,7.999,8.279833333333334,38.356163647964,19023822.8,8.260666666666667,8.0745,True,True,8.47,79098409.44,153969080.77449998
2021-04-15,7.73,7.73,7.59,7.66,7719744.0,72449539.0,1443100971.0000002,0.005349413627412768,7.736,7.833,7.966499999999999,8.283666666666667,35.44303734657912,18666214.6,8.262833333333333,8.071000000000002,True,True,8.47,59133239.04,150746464.95250002
2021-04-16,7.67,8.03,7.58,7.99,20286442.0,196183342.0,1443100971.0000002,0.014057534717021541,7.768000000000001,7.836999999999999,7.949499999999999,8.286666666666667,54.954954261829414,18924896.25,8.268,8.0605,True,True,8.47,162088671.58,152556413.583
2021-04-19,7.99,8.08,7.92,8.03,14435261.0,141969943.0,1443100971.0000002,0.010002945940779912,7.82,7.843999999999999,7.9334999999999996,8.287333333333333,54.954954261829386,18751389.25,8.272,8.0435,False,True,8.47,115915145.83,150876665.957
2021-04-20,8.06,8.18,7.99,8.06,10049864.0,99283644.0,1443100971.0000002,0.006964075419501605,7.9,7.848999999999999,7.912999999999999,8.2885,57.657656930444006,18328416.55,8.274,8.03,False,False,8.47,81001903.84,147088064.976
2021-04-21,8.05,8.26,7.99,8.16,19418501.0,194752739.0,1443100971.0000002,0.013456093087196735,7.9799999999999995,7.872999999999999,7.899499999999999,8.278,60.50420096885815,15120006.85,8.279833333333334,7.999,False,False,8.43,158454968.16,119779021.4415
2021-04-22,8.17,8.3,8.13,8.17,13226699.0,133645711.0,1443100971.0000002,0.00916547023791033,8.082,7.909000000000001,7.911500000000001,8.278833333333333,59.482757902794305,13146899.9,8.283666666666667,7.966499999999999,False,False,8.16,108062130.83,104291003.71599999
2021-04-23,8.18,8.24,8.09,8.13,9724991.0,97309339.0,1443100971.0000002,0.006738953957782347,8.110000000000001,7.939,7.9235,8.270333333333333,57.14285647058829,12812363.25,8.286666666666667,7.949499999999999,False,False,8.17,79064176.83000001,101768209.4395
2021-04-26,8.12,8.57,8.08,8.49,34152884.0,351972741.0,1443100971.0000002,0.023666316277463025,8.202000000000002,8.011,7.953999999999999,8.267,65.99999938400003,13744134.0,8.287333333333333,7.9334999999999996,False,False,8.17,289957985.16,110152225.9115
2021-04-27,8.43,8.52,8.34,8.39,16823500.0,173765354.0,1443100971.0000002,0.011657881422075488,8.268,8.084,7.977500000000001,8.261333333333333,65.56291329941673,13659924.95,8.2885,7.912999999999999,False,False,8.49,141149165.0,109880642.48550001
2021-04-28,8.36,8.47,8.34,8.39,11105489.0,114461383.0,1443100971.0000002,0.007695573090983665,8.314000000000002,8.147,8.002500000000001,8.2635,70.71428500714293,13383136.65,8.278,7.899499999999999,False,False,8.49,93175052.71000001,107974420.02350001
2021-04-29,8.44,8.51,8.35,8.37,10874550.0,112422699.0,1443100971.0000002,0.007535543401695901,8.354000000000001,8.218,8.0255,8.265666666666666,69.28571359285714,13420495.3,8.278833333333333,7.911500000000001,False,False,8.49,91019983.49999999,108520041.595
2021-04-30,8.39,8.55,8.31,8.48,13822555.0,143388084.0,1443100971.0000002,0.009578369967017365,8.424,8.267,8.052000000000001,8.269166666666667,74.48275790154582,13480195.65,8.270333333333333,7.9235,False,False,8.49,117215266.4,109360957.085
