日期,开盘,最高,最低,收盘,成交量,amount,outstanding_share,turnover,MA5,MA10,MA20,MA60,RSI14,Vol_MA20,MA60_prev5,MA20_prev5,MA20_break_1,MA20_break_2,High_20,成交额估算,Amount_MA20
2021-09-09,5.96,5.98,5.82,5.84,802475867.0,5043062124.0,6949457019.0,0.11547317507051409,6.029999999999999,5.648999999999999,5.525,5.819999999999999,61.92893357004819,663482134.4,5.6770000000000005,5.3945,False,False,6.13,4686459063.28,3786464422.9130006
2021-09-10,5.8,5.93,5.71,5.73,620703796.0,3836579067.0,6949457019.0,0.08931687674346059,5.958,5.704,5.544,5.821833333333333,58.45410588485147,674842110.4,5.718833333333333,5.421,False,False,6.13,3556632751.0800004,3859033666.637
2021-09-13,5.73,5.79,5.63,5.77,539173593.0,3287389536.0,6949457019.0,0.07758499570914462,5.918000000000001,5.758,5.547,5.8149999999999995,59.523809126984126,653030939.5,5.752833333333333,5.444,False,False,6.13,3111031631.6099997,3736109401.5770006
2021-09-14,5.78,5.78,5.58,5.6,450146706.0,2721651922.0,6949457019.0,0.0647743708277189,5.811999999999999,5.803,5.5504999999999995,5.795,57.87036999528464,642383440.45,5.7828333333333335,5.4765,False,False,6.13,2520821553.6,3678804245.3015
2021-09-15,5.56,5.82,5.54,5.77,517948684.0,3168637538.0,6949457019.0,0.07453081335475772,5.741999999999999,5.862,5.566000000000001,5.7665,64.84018223389836,650431983.2,5.807666666666666,5.5055,False,False,6.13,2988563906.68,3730777493.3185005
2021-09-16,5.75,5.76,5.62,5.64,374088601.0,2265451103.0,6949457019.0,0.053829903541705755,5.702,5.866,5.575,5.746333333333333,60.17699077766466,654714611.0,5.819999999999999,5.525,False,False,6.13,2109859709.6399999,3757527438.5155
2021-09-17,5.61,6.2,5.6,6.2,1569246144.0,10078911342.0,6949457019.0,0.22580845376978942,5.796,5.877,5.616499999999999,5.742166666666667,67.50902492955728,716851570.65,5.821833333333333,5.544,False,False,6.13,9729326092.800001,4156326626.8119993
2021-09-22,6.34,6.82,6.28,6.82,1583413571.0,11236891893.0,6949457019.0,0.22784709174701062,6.006,5.962,5.6884999999999994,5.756833333333334,75.22658578454013,782479305.9,5.8149999999999995,5.547,False,False,6.2,10798880554.220001,4623409619.569
2021-09-23,7.16,7.16,6.46,6.52,1540421129.0,11079527112.0,6949457019.0,0.2216606455422989,6.1899999999999995,6.001,5.746,5.761333333333334,68.71508353016448,841589514.2,5.795,5.5504999999999995,False,False,6.82,10043545761.08,5029405653.0575
2021-09-24,6.5,6.88,6.34,6.66,1211879516.0,8575362308.0,6949457019.0,0.17438477749940595,6.368,6.055,5.816,5.7731666666666674,66.06060578034895,881763365.5,5.7665,5.566000000000001,False,False,6.82,8071117576.56,5325551677.015501
2021-09-27,6.83,6.88,6.18,6.44,994198780.0,6882182630.0,6949457019.0,0.14306136109365583,6.5280000000000005,6.115,5.882,5.783,55.77557730004685,910516804.0,5.746333333333333,5.575,False,False,6.82,6402640143.200001,5538386401.6154995
2021-09-28,6.34,7.09,6.29,6.98,1286062993.0,9389622043.0,6949457019.0,0.18505949306310834,6.684,6.24,5.9719999999999995,5.8065,64.63768089712246,954212244.75,5.742166666666667,5.616499999999999,False,False,6.82,8976719691.140001,5880474454.0705
2021-09-29,6.82,6.97,6.56,6.61,883286439.0,6349443501.0,6949457019.0,0.12710150398586126,6.642,6.324,6.0409999999999995,5.8255,56.557376832840646,972453276.25,5.756833333333334,5.6884999999999994,False,False,6.98,5838523361.79,6036821813.1065
2021-09-30,6.64,7.02,6.49,6.9,864966789.0,6223538943.0,6949457019.0,0.12446537717049805,6.718000000000001,6.454000000000001,6.1285,5.840333333333334,59.898476944523175,1001403873.7,5.761333333333334,5.746,False,False,6.98,5968270844.1,6261601984.0115
2021-10-08,6.96,7.02,6.56,6.68,620487639.0,4431343196.0,6949457019.0,0.08928577258677481,6.7219999999999995,6.545,6.2035,5.852166666666666,60.82474204857052,1017657348.5,5.7731666666666674,5.816,False,False,6.98,4144857428.52,6392331556.4005
